test_name,total_cycles_e5,user_cycles_e5,proof_size_kb,gen_time_seconds,verify_time_ms
IIA001,2.62144,0.85395,249.6640625,30.470250817,17.13407
IIA003,1.31072,0.81658,238.2265625,15.173647226,16.225926
IIA006,2.62144,0.86547,249.6640625,30.47718113,17.299304
IIA007,2.62144,0.85559,249.6640625,30.535691398,17.16679
IIA009,2.62144,0.86015,249.6640625,30.437992236,17.246446
IIA014,1.31072,0.79448,238.2265625,15.058596018,16.167394
IIA015,1.31072,0.81989,238.2265625,15.147338966,16.27994
IIA016_FIXED,2.62144,0.83698,249.6640625,30.538947928,17.184292
IIA018_FIXED,2.62144,0.83255,249.6640625,30.504217544,17.224963
IIA020_FIXED,2.62144,0.86956,249.6640625,30.525329215,17.178448
IIA022_FIXED_NO_CONTENT_NO_XPATH,2.62144,0.85395,249.6640625,30.491174408,17.115098
IIB001,1.31072,0.79274,238.2265625,15.263886396,16.299437
IIB002,1.31072,0.80047,238.2265625,15.117443693,16.309565
IIB003,1.31072,0.8033,238.2265625,15.239330023,16.200506
IIB004,1.31072,0.81139,238.2265625,15.056071581,16.298354
IIB005,1.31072,0.80858,238.2265625,15.119025354,16.298097
IIB006,2.62144,0.86348,249.6640625,30.491564916,17.169454
IIB007,2.62144,0.86001,249.6640625,30.429591736,17.143608
IIB008,2.62144,0.98735,249.6640625,30.540602038,17.134926
IIB009,2.62144,0.99135,249.6640625,30.540809102,17.223495
IIB010,2.62144,0.85395,249.6640625,30.314162952,17.27648
IIB011,2.62144,0.81635,249.6640625,30.539079141,17.121471
IIB012,2.62144,0.85395,249.6640625,30.542645862,17.186377
IIB013,2.62144,0.84931,249.6640625,30.586495009,17.286083
IIB016,2.62144,0.82837,249.6640625,30.323504957,17.164958
IIB017,1.31072,0.82187,238.2265625,15.118372963,16.286796
IIB018,2.62144,0.85395,249.6640625,30.550355422,17.15646
IIB019,1.31072,0.81658,238.2265625,15.224275626,16.233066
IIB020,2.62144,0.85395,249.6640625,31.073498976,17.178452
IIB022,2.62144,0.85395,249.6640625,30.541383949,17.19484
IIB023,2.62144,0.84931,249.6640625,30.51715381,17.16906
IIB024,2.62144,0.85395,249.6640625,30.451289394,17.231943
IIB025,2.62144,0.84931,249.6640625,30.570497063,17.151258
IIB026,2.62144,0.93236,249.6640625,30.556521555,17.140184
IIB027,2.62144,0.92088,249.6640625,30.654636117,17.243703
IIB028,2.62144,0.87145,249.6640625,30.434666653,17.233391
IIB029,2.62144,0.86723,249.6640625,30.363867016,17.263714
IIB030,2.62144,0.85147,249.6640625,30.39409018,17.241625
IIB031,2.62144,0.8504,249.6640625,30.900741873,17.209314
IIB032,2.62144,0.85395,249.6640625,30.938541763,17.164247
IIB034,2.62144,0.85395,249.6640625,31.073270669,17.075711
IIB035,2.62144,0.85349,249.6640625,30.750622613,17.241679
IIB036,2.62144,0.85395,249.6640625,30.831032852,17.225578
IIB038,2.62144,0.85395,249.6640625,31.153296425,17.215193
IIB039,2.62144,0.85049,249.6640625,31.036489087,17.153983
IIB040,2.62144,0.85395,249.6640625,30.991031508,17.21693
IIB041,2.62144,0.85049,249.6640625,31.002461641,17.184236
IIB042,2.62144,0.86242,249.6640625,30.954102722,17.094663
IIB043,2.62144,0.8614,249.6640625,30.742177914,17.143062
IIB044,2.62144,0.85395,249.6640625,31.060323997,17.184125
IIB045,2.62144,0.85599,249.6640625,31.178990152,17.134291
IIB046,2.62144,0.84402,249.6640625,31.165991419,17.242787
IIB047,2.62144,0.83789,249.6640625,30.667559908,17.183159
IIB048,2.62144,0.8379,249.6640625,30.581170156,17.045985
IIB049,2.62144,0.83485,249.6640625,30.964962594,17.192056
IIB050,1.31072,0.81386,238.2265625,15.805060067,16.238737
IIB051,1.31072,0.81339,238.2265625,15.082771407,16.23342
IIB052,2.62144,0.85395,249.6640625,31.13144743,17.1631
IIB053,2.62144,0.85349,249.6640625,31.158625962,17.229328
IIB300,2.62144,0.85051,249.6640625,31.168599194,17.175924
IIB301,2.62144,0.85159,249.6640625,30.60454862,17.168604
IIC001,2.62144,0.82183,249.6640625,30.891907934,17.127197
