test_name,category,user_cycles,gen_time,verify_time,decision,success
IIA001,IIA,85390,26.588563343,14.760244,Permit,True
IIA003,IIA,81658,13.091927006,13.975436,Deny,True
IIA006,IIA,86545,26.58994922,14.76567,Permit,True
IIA007,IIA,85557,26.576432741,14.767781,Deny,True
IIA008,IIA,None,None,None,None,False
IIA009,IIA,86012,26.330219918,14.774322,Deny,True
IIA011,IIA,None,None,None,None,False
IIA013,IIA,None,None,None,None,False
IIA014,IIA,79448,13.220266305,13.990541,Permit,True
IIA015,IIA,82142,26.492176974,14.765608,Permit,True
IIA016_FIXED,IIA,83698,26.591558033,14.80191,Permit,True
IIA017,IIA,79624,13.027890698,13.977591,Deny,False
IIA018_FIXED,IIA,83255,26.641526934,14.770496,Permit,True
IIA019,IIA,79656,13.099697619,13.955125,Deny,False
IIA020_FIXED,IIA,86956,26.635451,14.759099,Permit,True
IIA021,IIA,79668,12.992844255,14.015115,Deny,False
IIA022_FIXED_NO_CONTENT_NO_XPATH,IIA,85390,26.630847782,14.748254,Permit,True
IIA023_FIXED_NO_CONTENT_NO_XPATH,IIA,None,None,None,None,False
IIB001,IIB,79274,13.182645401,13.948385,Permit,True
IIB002,IIB,80047,13.033096239,13.954759,Permit,True
IIB003,IIB,80330,13.345947094,13.948981,Deny,True
IIB004,IIB,81139,12.994426287,13.979814,Permit,True
IIB005,IIB,80858,13.034701675,13.95336,Deny,True
IIB006,IIB,86343,27.114464235,14.755395,Permit,True
IIB007,IIB,85996,26.458491181,14.75227,Deny,True
IIB008,IIB,98728,26.654062309,14.766867,Permit,True
IIB009,IIB,99128,26.53163999,14.745638,Deny,True
IIB010,IIB,85390,26.623675565,14.754714,Permit,True
IIB011,IIB,None,None,None,None,False
IIB012,IIB,85390,26.671104832,14.776314,Permit,True
IIB013,IIB,84926,26.70598585,14.770378,Deny,True
IIB014,IIB,None,None,None,None,False
IIB015,IIB,None,None,None,None,False
IIB016,IIB,82837,26.480186698,14.761429,Permit,True
IIB017,IIB,82187,13.040282511,13.975925,Deny,True
IIB018,IIB,85390,26.742197004,14.748549,Permit,True
IIB019,IIB,81658,13.029303009,13.950661,Deny,True
IIB020,IIB,85390,26.687967095,14.77595,Permit,True
IIB021,IIB,85390,26.543100728,14.889078,Permit,False
IIB022,IIB,85390,26.585379272,14.751995,Permit,True
IIB023,IIB,84926,26.571968413,14.774243,Deny,True
IIB024,IIB,85390,26.649446909,14.777872,Permit,True
IIB025,IIB,84926,26.617089349,14.794101,Deny,True
IIB026,IIB,93231,26.509617299,14.75818,Permit,True
IIB027,IIB,92083,26.663414029,14.825856,Deny,True
IIB028,IIB,87143,26.681067836,14.786327,Permit,True
IIB029,IIB,86721,26.647443812,14.770269,Deny,True
IIB030,IIB,85142,26.552500852,14.766755,Permit,True
IIB031,IIB,85035,26.619669192,14.748727,Deny,True
IIB032,IIB,85390,26.604385685,14.871944,Permit,True
IIB033,IIB,85390,26.523976493,14.74393,Permit,False
IIB034,IIB,85390,26.529166569,14.787174,Permit,True
IIB035,IIB,85344,26.650814927,14.744383,Deny,True
IIB036,IIB,85390,26.117750153,14.771954,Permit,True
IIB037,IIB,85390,26.570791256,14.751902,Permit,False
IIB038,IIB,85390,26.314108026,14.747977,Permit,True
IIB039,IIB,85044,27.226983551,14.762558,Deny,True
IIB040,IIB,85390,26.631445378,14.752684,Permit,True
IIB041,IIB,85044,26.629870597,14.74256,Deny,True
IIB042,IIB,86240,26.563394395,14.752705,Permit,True
IIB043,IIB,86138,26.513382335,14.759867,Deny,True
IIB044,IIB,85393,26.65851745,14.763988,Permit,True
IIB045,IIB,85597,26.628606841,14.750866,Deny,True
IIB046,IIB,84405,26.231818873,14.782726,Permit,True
IIB047,IIB,83792,26.401253552,14.782969,Deny,True
IIB048,IIB,83793,26.371412814,14.878723,Permit,True
IIB049,IIB,83488,26.493377455,14.760174,Deny,True
IIB050,IIB,81386,13.0280135,13.960427,Permit,True
IIB051,IIB,81339,13.113966882,13.936545,Deny,True
IIB052,IIB,85390,26.550701234,14.765697,Permit,True
IIB053,IIB,85344,26.618717028,14.775319,Deny,True
IIB300,IIB,85048,26.734392507,14.751677,Permit,True
IIB301,IIB,85156,26.410935752,14.781998,Deny,True
IIC001,IIC,82654,26.519444791,14.769943,Permit,True
IIC002,IIC,79274,13.109129635,14.049374,Permit,True
IIC004,IIC,82654,26.618912604,14.751239,Permit,True
IIC005,IIC,84075,26.527972696,14.805585,Permit,True
IIC006,IIC,80462,13.035140655,14.162185,Permit,True
IIC007,IIC,82654,26.814841916,14.75513,Permit,True
IIC008,IIC,None,None,None,None,False
IIC009,IIC,83899,26.661540779,14.75691,Permit,True
IIC010,IIC,82654,26.33809206,14.745278,Permit,True
IIC011,IIC,82654,26.270124437,14.896959,Deny,True
IIC013,IIC,82657,26.503095969,14.760136,Permit,True
IIC015,IIC,84459,26.626053484,14.806697,Permit,True
IIC016,IIC,82654,26.669872199,14.785106,Permit,True
